Time,Temperature °C,Humidity %,pTemperature °C,pressure
2021-09-08 15:29:08.365306,25,46,25,1017
2021-09-08 15:29:18.501726,25,46,25,1017
2021-09-08 15:29:28.599746,25,46,25,1017
2021-09-08 15:29:38.778198,25,46,25,1017
2021-09-08 15:29:48.915290,25,46,25,1017
2021-09-08 15:29:59.005416,25,46,25,1017
2021-09-08 15:30:09.192552,25,45,25,1017
2021-09-08 15:30:19.329541,25,45,25,1017
2021-09-08 15:30:29.464498,25,46,25,1017
2021-09-08 15:30:39.559199,25,46,25,1017
2021-09-08 15:30:49.740824,25,46,25,1017
2021-09-08 15:30:59.876852,25,45,25,1017
2021-09-08 15:31:10.016148,25,45,25,1017
2021-09-08 15:31:20.153506,25,45,25,1017
2021-09-08 15:31:30.293173,25,45,25,1017
2021-09-08 15:31:40.385117,25,45,25,1017
2021-09-08 15:31:50.566045,25,45,25,1017
2021-09-08 15:32:00.705964,25,46,25,1017
2021-09-08 15:32:10.844716,25,46,24,1017
2021-09-08 15:32:20.988593,25,46,24,1017
2021-09-08 15:32:31.124924,25,46,24,1017
2021-09-08 15:32:41.247306,25,46,24,1017
2021-09-08 15:32:51.396272,25,46,24,1017
2021-09-08 15:33:01.489041,25,46,24,1017
2021-09-08 15:33:11.668588,25,46,24,1017
2021-09-08 15:33:21.806314,25,46,25,1017
2021-09-08 15:33:31.944500,25,46,25,1017
2021-09-08 15:33:42.087337,25,46,25,1017
2021-09-08 15:33:52.218421,25,46,25,1017
2021-09-08 15:34:02.359194,25,46,25,1017
2021-09-08 15:34:12.445329,25,46,25,1017
2021-09-08 15:34:22.631815,25,46,25,1017
2021-09-08 15:34:32.770187,25,46,25,1017
2021-09-08 15:34:42.922166,25,45,25,1017
2021-09-08 15:34:53.041974,25,46,25,1017
2021-09-08 15:35:03.182680,25,45,25,1017
2021-09-08 15:35:13.320889,25,46,25,1017
2021-09-08 15:35:23.458270,25,46,25,1017
2021-09-08 15:35:33.556938,25,46,25,1017
2021-09-08 15:35:43.730439,25,46,25,1017
2021-09-08 15:35:53.876602,25,45,25,1017
2021-09-08 15:36:04.008382,25,45,25,1017
2021-09-08 15:36:14.148019,25,45,25,1017
2021-09-08 15:36:24.274053,25,46,25,1017
2021-09-08 15:36:34.373011,25,46,25,1017
2021-09-08 15:36:44.561613,25,46,25,1017
2021-09-08 15:36:54.647082,25,46,25,1017
2021-09-08 15:37:04.826475,25,45,25,1017
2021-09-08 15:37:14.972305,25,45,25,1017
2021-09-08 15:37:25.111076,25,45,25,1017
2021-09-08 15:37:35.256335,25,45,25,1017
2021-09-08 15:37:45.353508,25,45,25,1017
2021-09-08 15:37:55.446407,25,45,25,1017
2021-09-08 15:38:05.538400,25,45,25,1017
2021-09-08 15:38:15.693308,25,45,25,1017
2021-09-08 15:38:25.779123,25,45,25,1017
2021-09-08 15:38:35.973807,25,45,25,1017
2021-09-08 15:38:46.066027,25,45,25,1017
2021-09-08 15:38:56.248893,25,45,25,1017
2021-09-08 15:39:06.382377,25,45,25,1017
2021-09-08 15:39:16.520561,25,45,25,1017
2021-09-08 15:39:26.660905,25,45,25,1017
2021-09-08 15:39:36.797341,25,45,25,1017
2021-09-08 15:39:46.933062,25,45,25,1017
2021-09-08 15:39:57.063708,25,45,25,1017
2021-09-08 15:40:07.165064,25,45,25,1017
2021-09-08 15:40:17.353826,25,45,25,1017
2021-09-08 15:40:27.448390,25,46,25,1017
2021-09-08 15:40:37.625342,25,45,25,1017
2021-09-08 15:40:47.753142,25,45,25,1017
2021-09-08 15:40:57.898622,25,46,25,1017
2021-09-08 15:41:08.036046,25,46,25,1017
2021-09-08 15:41:18.176306,25,45,25,1017
2021-09-08 15:41:28.262570,25,45,25,1017
2021-09-08 15:41:38.447685,25,46,25,1017
2021-09-08 15:41:48.540082,25,46,25,1017
2021-09-08 15:41:58.718691,25,46,25,1017
2021-09-08 15:42:08.863295,25,46,25,1017
2021-09-08 15:42:19.001475,25,45,25,1017
2021-09-08 15:42:29.088924,25,45,25,1017
2021-09-08 15:42:39.275749,25,46,25,1017
2021-09-08 15:42:49.374637,25,46,25,1017
2021-09-08 15:42:59.540991,25,46,25,1017
2021-09-08 15:43:09.630138,25,46,25,1017
2021-09-08 15:43:19.716881,25,46,25,1017
2021-09-08 15:43:29.863377,25,46,25,1017
2021-09-08 15:43:40.002560,25,46,25,1017
2021-09-08 15:43:50.144768,25,46,25,1017
2021-09-08 15:44:00.280201,25,46,25,1017
2021-09-08 15:44:10.414559,25,46,25,1017
2021-09-08 15:44:20.504056,25,46,25,1017
2021-09-08 15:44:30.688063,25,45,25,1017
2021-09-08 15:44:40.827636,25,45,25,1017
2021-09-08 15:44:50.965893,25,45,25,1017
2021-09-08 15:45:01.104161,25,46,25,1017
2021-09-08 15:45:11.240337,25,46,25,1017
2021-09-08 15:45:21.378012,25,46,25,1017
2021-09-08 15:45:31.503198,25,46,25,1017
2021-09-08 15:45:41.660024,25,45,25,1017
2021-09-08 15:45:51.790160,25,45,25,1017
2021-09-08 15:46:01.918656,25,46,25,1017
2021-09-08 15:46:12.066961,25,46,25,1017
2021-09-08 15:46:22.215500,25,46,25,1017
2021-09-08 15:46:32.343153,25,46,25,1017
2021-09-08 15:46:42.442231,25,46,25,1017
2021-09-08 15:46:52.618098,25,46,25,1017
2021-09-08 15:47:02.778682,25,46,25,1017
2021-09-08 15:47:12.891741,25,46,25,1017
2021-09-08 15:47:23.033341,25,46,25,1017
2021-09-08 15:47:33.167962,25,46,25,1017
2021-09-08 15:47:43.294392,25,46,25,1017
2021-09-08 15:47:53.454677,25,46,25,1017
2021-09-08 15:48:03.545890,25,46,25,1017
2021-09-08 15:48:13.722917,25,46,25,1017
2021-09-08 15:48:23.860028,25,46,25,1017
2021-09-08 15:48:33.996239,25,46,25,1017
2021-09-08 15:48:44.120686,25,46,25,1017
2021-09-08 15:48:54.272607,25,45,25,1017
2021-09-08 15:49:04.369936,25,45,25,1017
2021-09-08 15:49:14.534127,25,45,25,1017
2021-09-08 15:49:24.693092,25,45,25,1017
2021-09-08 15:49:34.821592,25,45,25,1017
2021-09-08 15:49:44.915348,25,45,25,1017
2021-09-08 15:49:55.009811,25,45,25,1017
2021-09-08 15:50:05.134656,25,45,25,1017
2021-09-08 15:50:15.272793,25,45,25,1017
2021-09-08 15:50:25.410262,25,45,25,1017
2021-09-08 15:50:35.519244,25,45,25,1017
2021-09-08 15:50:45.682570,25,45,25,1017
2021-09-08 15:50:55.778023,25,45,25,1017
2021-09-08 15:51:05.948354,25,45,25,1017
2021-09-08 15:51:16.095500,25,45,25,1017
2021-09-08 15:51:26.269544,25,46,25,1017
2021-09-08 15:51:36.359654,25,45,25,1017
2021-09-08 15:51:46.492551,25,45,25,1017
2021-09-08 15:51:56.647288,25,45,25,1017
2021-09-08 15:52:06.784060,25,45,25,1017
2021-09-08 15:52:16.880247,25,45,25,1017
2021-09-08 15:52:27.049605,25,45,25,1017
2021-09-08 15:52:37.198995,25,45,25,1017
2021-09-08 15:52:47.336814,25,45,25,1017
2021-09-08 15:52:57.465742,25,45,25,1017
2021-09-08 15:53:07.594879,25,45,25,1017
2021-09-08 15:53:17.749441,25,46,25,1017
2021-09-08 15:53:27.885286,25,46,25,1017
2021-09-08 15:53:38.011429,25,45,25,1017
2021-09-08 15:53:48.147917,25,45,25,1017
2021-09-08 15:53:58.289688,25,46,25,1017
2021-09-08 15:54:08.442889,25,46,25,1017
2021-09-08 15:54:18.544344,25,45,25,1017
2021-09-08 15:54:28.713840,25,45,25,1017
2021-09-08 15:54:38.849977,25,45,25,1017
2021-09-08 15:54:48.998006,25,45,25,1017
2021-09-08 15:54:59.118096,25,45,25,1017
2021-09-08 15:55:09.262473,25,45,25,1017
2021-09-08 15:55:19.399195,25,45,25,1017
2021-09-08 15:55:29.543536,25,46,25,1017
2021-09-08 15:55:39.682805,25,46,25,1017
2021-09-08 15:55:49.798507,25,46,24,1017
2021-09-08 15:55:59.887757,25,46,24,1017
2021-09-08 15:56:09.971733,25,46,24,1017
2021-09-08 15:56:20.119280,25,46,24,1017
2021-09-08 15:56:30.252742,25,46,24,1017
2021-09-08 15:56:40.407757,25,46,24,1017
2021-09-08 15:56:50.524419,25,46,24,1017
2021-09-08 15:57:00.681549,25,46,25,1017
2021-09-08 15:57:10.816360,25,46,25,1017
2021-09-08 15:57:20.955713,25,46,25,1017
2021-09-08 15:57:31.074536,25,46,25,1017
2021-09-08 15:57:41.225879,25,46,25,1017
2021-09-08 15:57:51.358186,25,46,25,1017
2021-09-08 15:58:01.506944,25,46,25,1017
2021-09-08 15:58:11.643471,25,46,25,1017
2021-09-08 15:58:21.769172,25,46,25,1017
2021-09-08 15:58:31.900664,25,46,24,1017
2021-09-08 15:58:42.045997,25,46,24,1017
2021-09-08 15:58:52.193031,25,46,24,1017
2021-09-08 15:59:02.329271,25,47,24,1017
2021-09-08 15:59:12.425068,25,47,24,1017
2021-09-08 15:59:22.605775,25,46,24,1017
2021-09-08 15:59:32.701634,25,46,24,1017
2021-09-08 15:59:42.880266,25,46,24,1017
2021-09-08 15:59:53.017755,25,46,24,1017
2021-09-08 16:00:03.163164,25,46,24,1017
2021-09-08 16:00:13.294144,25,46,24,1017
2021-09-08 16:00:23.417782,25,46,24,1017
2021-09-08 16:00:33.540195,25,46,24,1017
2021-09-08 16:00:43.696705,25,46,24,1017
2021-09-08 16:00:53.833355,25,46,25,1016
2021-09-08 16:01:03.970246,25,47,25,1016
2021-09-08 16:01:14.102665,25,47,25,1016
2021-09-08 16:01:24.241354,25,47,25,1016
2021-09-08 16:01:34.379464,25,47,25,1016
2021-09-08 16:01:44.526308,25,47,24,1016
2021-09-08 16:01:54.658299,25,46,24,1016
2021-09-08 16:02:04.798702,25,46,24,1016
2021-09-08 16:02:14.929191,25,47,24,1016
2021-09-08 16:02:25.072686,25,46,25,1016
2021-09-08 16:02:35.164483,25,46,25,1016
2021-09-08 16:02:45.344355,25,46,25,1016
2021-09-08 16:02:55.442233,25,46,25,1016
2021-09-08 16:03:05.536243,25,46,25,1016
2021-09-08 16:03:15.675925,25,46,25,1016
2021-09-08 16:03:25.792913,25,45,25,1016
2021-09-08 16:03:35.934056,25,45,25,1016
2021-09-08 16:03:46.078646,25,45,25,1016
2021-09-08 16:03:56.209206,25,45,25,1016
2021-09-08 16:04:06.293575,25,45,25,1016
2021-09-08 16:04:16.480197,25,45,25,1016
2021-09-08 16:04:26.628168,25,46,25,1016
2021-09-08 16:04:36.765339,25,46,25,1016
2021-09-08 16:04:46.888460,25,45,25,1016
2021-09-08 16:04:57.032294,25,45,25,1016
2021-09-08 16:05:07.180513,25,45,25,1016
2021-09-08 16:05:17.338871,25,45,25,1016
2021-09-08 16:05:27.428087,25,45,25,1016
