Time,Temperature °C,Humidity %,pTemperature °C,pressure,Lux
2021-09-18 20:39:02.133165,21,67,22.08,1018.742,0
2021-09-18 20:39:07.276743,21,67,22.08,1018.744,0
2021-09-18 20:39:12.363312,21,67,22.08,1018.744,0
2021-09-18 20:39:17.462219,21,67,22.08,1018.75,0
2021-09-18 20:39:22.622207,21,68,22.08,1018.754,0
2021-09-18 20:39:27.743956,21,68,22.08,1018.755,0
2021-09-18 20:39:32.873155,21,68,22.08,1018.757,0
2021-09-18 20:39:37.958874,21,68,22.08,1018.763,0
2021-09-18 20:39:43.113057,21,68,22.08,1018.763,0
2021-09-18 20:39:48.233834,21,68,22.08,1018.769,0
2021-09-18 20:39:53.352718,21,68,22.08,1018.771,0
2021-09-18 20:39:58.444343,21,68,22.08,1018.768,0
2021-09-18 20:40:03.535768,21,67,22.07,1018.767,0
2021-09-18 20:40:08.718660,21,68,22.07,1018.77,0
2021-09-18 20:40:13.827012,21,67,22.07,1018.775,0
2021-09-18 20:40:18.957048,21,68,22.07,1018.777,0
2021-09-18 20:40:24.073101,21,68,22.07,1018.774,0
2021-09-18 20:40:29.167102,21,67,22.07,1018.785,0
2021-09-18 20:40:34.312547,21,67,22.07,1018.793,0
2021-09-18 20:40:39.399737,21,68,22.07,1018.798,0
2021-09-18 20:40:44.491112,21,68,22.07,1018.802,0
2021-09-18 20:40:49.664846,21,68,22.07,1018.801,0
2021-09-18 20:40:54.784933,21,68,22.07,1018.79,0
2021-09-18 20:40:59.920633,21,68,22.07,1018.79,0
2021-09-18 20:41:05.022891,21,68,22.06,1018.788,0
2021-09-18 20:41:10.146563,21,67,22.06,1018.788,0
2021-09-18 20:41:15.276163,21,68,22.06,1018.791,0
2021-09-18 20:41:20.361470,21,68,22.06,1018.792,0
2021-09-18 20:41:25.455073,21,68,22.06,1018.795,0
2021-09-18 20:41:30.637899,21,67,22.06,1018.798,0
2021-09-18 20:41:35.753354,21,67,22.06,1018.802,0
2021-09-18 20:41:40.840902,21,68,22.06,1018.801,0
2021-09-18 20:41:45.992737,21,68,22.06,1018.801,0
2021-09-18 20:41:51.106471,21,68,22.06,1018.803,0
